ReqID,Requirement,Source,Priority,TestID,TestArtifact,CodeRef,Status
REQ-PSM-001,"Trusted router admits workflow_dispatch and same-owner labeled PR heads; rejects cross-owner heads","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-001,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs",".github/workflows/pester-service-model-on-label.yml",Implemented
REQ-PSM-002,"Context resolves repository and standing-priority state before readiness and emits a receipt","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-002,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs",".github/workflows/pester-context.yml;tools/priority/run-sync-standing-priority.mjs",Implemented
REQ-PSM-003,"Readiness certifies runner labels, session lock, dotnet, Docker runtime, and LVCompare state and emits a bounded-freshness receipt","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-003,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs",".github/workflows/selfhosted-readiness.yml;tools/Invoke-DockerRuntimeManager.ps1;tools/Session-Lock.ps1",Implemented
REQ-PSM-004,"Selection resolves integration mode, include patterns, and dispatcher profile into a receipt before execution","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-004,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs",".github/workflows/pester-selection.yml;.github/actions/dispatcher-profile/action.yml",Implemented
REQ-PSM-005,"Execution validates context, readiness, and selection receipts, runs Invoke-PesterTests without host bootstrap, invokes execution-post for XML/result postprocess, and emits an execution receipt even when skipped","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-005,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs;tools/priority/__tests__/pester-service-model-local-harness-contract.test.mjs;tests/Invoke-PesterExecutionPostprocess.Tests.ps1",".github/workflows/pester-run.yml;Invoke-PesterTests.ps1;tools/Invoke-PesterExecutionPostprocess.ps1;tools/Run-PesterExecutionOnly.Local.ps1",Implemented
REQ-PSM-006,"Evidence classifies context-blocked, selection-blocked, readiness-blocked, results-xml-truncated, invalid-results-xml, missing-results-xml, test-failures, and seam-defect explicitly from the execution contract","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-006,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs;tests/Invoke-PesterExecutionPostprocess.Tests.ps1",".github/workflows/pester-evidence.yml;tools/Invoke-PesterExecutionPostprocess.ps1",Implemented
REQ-PSM-007,"The pilot remains additive until it proves equivalent or better than the monolith","docs/requirements-pester-service-model-srs.md",Medium,TEST-PSM-007,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs","docs/knowledgebase/Pester-Service-Model.md;.github/workflows/pester-gate.yml",Implemented
REQ-PSM-008,"Execution preserves control-plane outputs across in-process environment mutation and recovers dispatcher exit code from a durable trace when step outputs collapse","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-008,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs;tools/priority/__tests__/pester-service-model-local-harness-contract.test.mjs",".github/workflows/pester-run.yml;tools/Run-PesterExecutionOnly.Local.ps1",Implemented
REQ-PSM-009,"Evidence normalizes raw execution artifacts into the canonical evidence workspace before hosted analysis runs","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-009,"tools/priority/__tests__/pester-service-model-workflow-contract.test.mjs",".github/workflows/pester-evidence.yml",Implemented
REQ-PSM-010,"Failure detail is governed as a versioned interface with backward-compatible readers and truthful unavailable-details degradation","docs/requirements-pester-service-model-srs.md",High,TEST-PSM-010,"tests/Write-PesterSummaryToStepSummary.Tests.ps1;tests/Write-PesterSummaryToStepSummary.CompactMode.Tests.ps1;tests/PesterFailurePayloadShape.Tests.ps1","scripts/Write-PesterSummaryToStepSummary.ps1;tools/Write-PesterTopFailures.ps1;tools/Print-PesterTopFailures.ps1",Implemented
